,Name,Team,Number,Position,Age,Height,Weight,College,Salary
51,Richaun Holmes,Philadelphia 76ers,22.0,PF,22.0,2.0828,111.13013065000001,Bowling Green,1074169.0
52,Carl Landry,Philadelphia 76ers,7.0,PF,32.0,2.0574,112.49090776,Purdue,6500000.0
53,Kendall Marshall,Philadelphia 76ers,5.0,PG,24.0,1.9304000000000001,90.718474,North Carolina,2144772.0
54,T.J. McConnell,Philadelphia 76ers,12.0,PG,24.0,1.8796000000000002,90.718474,Arizona,525093.0
55,Nerlens Noel,Philadelphia 76ers,4.0,PF,22.0,2.1082,103.41906036,Kentucky,3457800.0
56,Jahlil Okafor,Philadelphia 76ers,8.0,C,20.0,2.1082,124.73790175,Duke,4582680.0
57,Ish Smith,Philadelphia 76ers,1.0,PG,27.0,1.8288000000000002,79.37866475,Wake Forest,947276.0
58,Nik Stauskas,Philadelphia 76ers,11.0,SG,22.0,1.9812,92.98643585,Michigan,2869440.0
59,Hollis Thompson,Philadelphia 76ers,31.0,SG,25.0,2.032,93.44002822,Georgetown,947276.0
60,Christian Wood,Philadelphia 76ers,35.0,PF,20.0,2.1082,99.79032140000001,UNLV,525093.0
63,DeMarre Carroll,Toronto Raptors,5.0,SF,29.0,2.032,96.16158244,Missouri,13600000.0
64,DeMar DeRozan,Toronto Raptors,10.0,SG,26.0,2.0066,99.79032140000001,USC,10050000.0
65,James Johnson,Toronto Raptors,3.0,PF,29.0,2.0574,113.3980925,Wake Forest,2500000.0
66,Cory Joseph,Toronto Raptors,6.0,PG,24.0,1.905,86.1825503,Texas,7000000.0
67,Kyle Lowry,Toronto Raptors,7.0,PG,30.0,1.8288000000000002,92.98643585,Villanova,12000000.0
69,Patrick Patterson,Toronto Raptors,54.0,PF,27.0,2.0574,106.59420695,Kentucky,6268675.0
70,Norman Powell,Toronto Raptors,24.0,SG,23.0,1.9304000000000001,97.52235955,UCLA,650000.0
71,Terrence Ross,Toronto Raptors,31.0,SF,25.0,2.0066,88.45051215000001,Washington,3553917.0
73,Jason Thompson,Toronto Raptors,1.0,PF,29.0,2.1082,113.3980925,Rider,245177.0
75,Delon Wright,Toronto Raptors,55.0,PG,24.0,1.9558000000000002,86.1825503,Utah,1509360.0
77,Harrison Barnes,Golden State Warriors,40.0,SF,24.0,2.032,102.05828325,North Carolina,3873398.0
78,Andrew Bogut,Golden State Warriors,12.0,C,31.0,2.1336,117.9340162,Utah,13800000.0
79,Ian Clark,Golden State Warriors,21.0,SG,25.0,1.905,79.37866475,Belmont,947276.0
80,Stephen Curry,Golden State Warriors,30.0,PG,28.0,1.905,86.1825503,Davidson,11370786.0
81,Festus Ezeli,Golden State Warriors,31.0,C,26.0,2.1082,120.20197805000001,Vanderbilt,2008748.0
82,Draymond Green,Golden State Warriors,23.0,PF,26.0,2.0066,104.32624510000001,Michigan State,14260870.0
83,Andre Iguodala,Golden State Warriors,9.0,SF,32.0,1.9812,97.52235955,Arizona,11710456.0
85,Kevon Looney,Golden State Warriors,36.0,SF,20.0,2.0574,99.79032140000001,UCLA,1131960.0
86,James Michael McAdoo,Golden State Warriors,20.0,SF,23.0,2.0574,108.8621688,North Carolina,845059.0
87,Brandon Rush,Golden State Warriors,4.0,SF,30.0,1.9812,99.79032140000001,Kansas,1270964.0
88,Marreese Speights,Golden State Warriors,5.0,C,28.0,2.0828,115.66605435000001,Florida,3815000.0
89,Klay Thompson,Golden State Warriors,11.0,SG,26.0,2.0066,97.52235955,Washington State,15501000.0
91,Cole Aldrich,Los Angeles Clippers,45.0,C,27.0,2.1082,113.3980925,Kansas,1100602.0
92,Jeff Ayres,Los Angeles Clippers,19.0,PF,29.0,2.0574,113.3980925,Arizona State,111444.0
93,Jamal Crawford,Los Angeles Clippers,11.0,SG,36.0,1.9558000000000002,88.45051215000001,Michigan,5675000.0
94,Branden Dawson,Los Angeles Clippers,22.0,SF,23.0,1.9812,102.05828325,Michigan State,525093.0
95,Jeff Green,Los Angeles Clippers,8.0,SF,29.0,2.0574,106.59420695,Georgetown,9650000.0
96,Blake Griffin,Los Angeles Clippers,32.0,PF,27.0,2.0828,113.85168487,Oklahoma,18907726.0
97,Wesley Johnson,Los Angeles Clippers,33.0,SF,28.0,2.0066,97.52235955,Syracuse,1100602.0
98,DeAndre Jordan,Los Angeles Clippers,6.0,C,27.0,2.1082,120.20197805000001,Texas A&M,19689000.0
99,Luc Richard Mbah a Moute,Los Angeles Clippers,12.0,PF,29.0,2.032,104.32624510000001,UCLA,947276.0
100,Chris Paul,Los Angeles Clippers,3.0,PG,31.0,1.8288000000000002,79.37866475,Wake Forest,21468695.0
101,Paul Pierce,Los Angeles Clippers,34.0,SF,38.0,2.0066,106.59420695,Kansas,3376000.0
103,JJ Redick,Los Angeles Clippers,4.0,SG,31.0,1.9304000000000001,86.1825503,Duke,7085000.0
104,Austin Rivers,Los Angeles Clippers,25.0,PG,23.0,1.9304000000000001,90.718474,Duke,3110796.0
105,C.J. Wilcox,Los Angeles Clippers,30.0,SG,25.0,1.9558000000000002,88.45051215000001,Washington,1159680.0
106,Brandon Bass,Los Angeles Lakers,2.0,PF,31.0,2.032,113.3980925,LSU,3000000.0
107,Tarik Black,Los Angeles Lakers,28.0,C,24.0,2.0574,113.3980925,Kansas,845059.0
108,Anthony Brown,Los Angeles Lakers,3.0,SF,23.0,2.0066,95.2543977,Stanford,700000.0
110,Jordan Clarkson,Los Angeles Lakers,6.0,PG,24.0,1.9558000000000002,87.99691978,Missouri,845059.0
111,Roy Hibbert,Los Angeles Lakers,17.0,C,29.0,2.1844,122.4699399,Georgetown,15592217.0
113,Ryan Kelly,Los Angeles Lakers,4.0,PF,25.0,2.1082,104.32624510000001,Duke,1724250.0
114,Larry Nance Jr.,Los Angeles Lakers,7.0,PF,23.0,2.0574,104.32624510000001,Wyoming,1155600.0
115,Julius Randle,Los Angeles Lakers,30.0,PF,21.0,2.0574,113.3980925,Kentucky,3132240.0
116,D'Angelo Russell,Los Angeles Lakers,1.0,PG,20.0,1.9558000000000002,88.45051215000001,Ohio State,5103120.0
117,Robert Sacre,Los Angeles Lakers,50.0,C,27.0,2.1336,122.4699399,Gonzaga,981348.0
119,Metta World Peace,Los Angeles Lakers,37.0,SF,36.0,2.0066,117.9340162,St. John's,947276.0
120,Nick Young,Los Angeles Lakers,0.0,SF,31.0,2.0066,95.2543977,USC,5219169.0
121,Eric Bledsoe,Phoenix Suns,2.0,PG,26.0,1.8542,86.1825503,Kentucky,13500000.0
122,Devin Booker,Phoenix Suns,1.0,SG,19.0,1.9812,93.44002822,Kentucky,2127840.0
123,Chase Budinger,Phoenix Suns,10.0,SF,28.0,2.0066,94.80080533,Arizona,206192.0
125,Archie Goodwin,Phoenix Suns,20.0,SG,21.0,1.9558000000000002,90.718474,Kentucky,1160160.0
126,John Jenkins,Phoenix Suns,23.0,SG,25.0,1.9304000000000001,97.52235955,Vanderbilt,981348.0
127,Brandon Knight,Phoenix Suns,3.0,PG,24.0,1.905,85.72895793,Kentucky,13500000.0
128,Alex Len,Phoenix Suns,21.0,C,22.0,2.159,117.9340162,Maryland,3807120.0
129,Jon Leuer,Phoenix Suns,30.0,PF,27.0,2.0828,103.41906036,Wisconsin,1035000.0
130,Phil Pressey,Phoenix Suns,25.0,PG,25.0,1.8034000000000001,79.37866475,Missouri,55722.0
131,Ronnie Price,Phoenix Suns,14.0,PG,32.0,1.8796000000000002,86.1825503,Utah Valley,947276.0
133,P.J. Tucker,Phoenix Suns,17.0,SF,31.0,1.9812,111.13013065000001,Texas,5500000.0
134,T.J. Warren,Phoenix Suns,12.0,SF,22.0,2.032,104.32624510000001,North Carolina State,2041080.0
135,Alan Williams,Phoenix Suns,15.0,C,23.0,2.032,117.9340162,UC Santa Barbara,83397.0
136,Quincy Acy,Sacramento Kings,13.0,SF,25.0,2.0066,108.8621688,Baylor,981348.0
137,James Anderson,Sacramento Kings,5.0,SG,27.0,1.9812,96.61517481,Oklahoma State,1015421.0
139,Caron Butler,Sacramento Kings,31.0,SF,36.0,2.0066,103.41906036,Connecticut,1449187.0
141,Willie Cauley-Stein,Sacramento Kings,0.0,C,22.0,2.1336,108.8621688,Kentucky,3398280.0
142,Darren Collison,Sacramento Kings,7.0,PG,28.0,1.8288000000000002,79.37866475,UCLA,5013559.0
143,DeMarcus Cousins,Sacramento Kings,15.0,C,25.0,2.1082,122.4699399,Kentucky,15851950.0
144,Seth Curry,Sacramento Kings,30.0,SG,25.0,1.8796000000000002,83.91458845000001,Duke,947276.0
145,Duje Dukan,Sacramento Kings,26.0,PF,24.0,2.0574,99.79032140000001,Wisconsin,525093.0
146,Rudy Gay,Sacramento Kings,8.0,SF,29.0,2.032,104.32624510000001,Connecticut,12403101.0
147,Kosta Koufos,Sacramento Kings,41.0,C,27.0,2.1336,120.20197805000001,Ohio State,7700000.0
148,Ben McLemore,Sacramento Kings,23.0,SG,23.0,1.9558000000000002,88.45051215000001,Kansas,3156600.0
149,Eric Moreland,Sacramento Kings,25.0,PF,24.0,2.0828,107.95498406,Oregon State,845059.0
150,Rajon Rondo,Sacramento Kings,9.0,PG,30.0,1.8542,84.36818082,Kentucky,9500000.0
151,Cameron Bairstow,Chicago Bulls,41.0,PF,25.0,2.0574,113.3980925,New Mexico,845059.0
152,Aaron Brooks,Chicago Bulls,0.0,PG,31.0,1.8288000000000002,73.02837157,Oregon,2250000.0
153,Jimmy Butler,Chicago Bulls,21.0,SG,26.0,2.0066,99.79032140000001,Marquette,16407500.0
154,Mike Dunleavy,Chicago Bulls,34.0,SG,35.0,2.0574,104.32624510000001,Duke,4500000.0
157,Taj Gibson,Chicago Bulls,22.0,PF,30.0,2.0574,102.05828325,USC,8500000.0
158,Justin Holiday,Chicago Bulls,7.0,SG,27.0,1.9812,83.91458845000001,Washington,947276.0
159,Doug McDermott,Chicago Bulls,3.0,SF,24.0,2.032,102.05828325,Creighton,2380440.0
161,E'Twaun Moore,Chicago Bulls,55.0,SG,27.0,1.9304000000000001,86.63614267,Purdue,1015421.0
162,Joakim Noah,Chicago Bulls,13.0,C,31.0,2.1082,105.23342984,Florida,13400000.0
163,Bobby Portis,Chicago Bulls,5.0,PF,21.0,2.1082,104.32624510000001,Arkansas,1391160.0
164,Derrick Rose,Chicago Bulls,1.0,PG,27.0,1.905,86.1825503,Memphis,20093064.0
165,Tony Snell,Chicago Bulls,20.0,SF,24.0,2.0066,90.718474,New Mexico,1535880.0
166,Matthew Dellavedova,Cleveland Cavaliers,8.0,PG,25.0,1.9304000000000001,89.81128926000001,Saint Mary's,1147276.0
167,Channing Frye,Cleveland Cavaliers,9.0,PF,33.0,2.1082,115.66605435000001,Arizona,8193029.0
168,Kyrie Irving,Cleveland Cavaliers,2.0,PG,24.0,1.905,87.54332741,Duke,16407501.0
170,Richard Jefferson,Cleveland Cavaliers,24.0,SF,35.0,2.0066,105.68702221000001,Arizona,947276.0
172,James Jones,Cleveland Cavaliers,1.0,SG,35.0,2.032,98.88313666,Miami (FL),947276.0
173,Sasha Kaun,Cleveland Cavaliers,14.0,C,31.0,2.1082,117.9340162,Kansas,1276000.0
174,Kevin Love,Cleveland Cavaliers,0.0,PF,27.0,2.0828,113.85168487,UCLA,19689000.0
175,Jordan McRae,Cleveland Cavaliers,12.0,SG,25.0,1.9558000000000002,81.19303423000001,Tennessee,111196.0
177,Iman Shumpert,Cleveland Cavaliers,4.0,SG,25.0,1.9558000000000002,99.79032140000001,Georgia Tech,8988765.0
179,Tristan Thompson,Cleveland Cavaliers,13.0,C,25.0,2.0574,107.95498406,Texas,14260870.0
180,Mo Williams,Cleveland Cavaliers,52.0,PG,33.0,1.8542,89.81128926000001,Alabama,2100000.0
181,Joel Anthony,Detroit Pistons,50.0,C,33.0,2.0574,111.13013065000001,UNLV,2500000.0
182,Aron Baynes,Detroit Pistons,12.0,C,29.0,2.0828,117.9340162,Washington State,6500000.0
183,Steve Blake,Detroit Pistons,22.0,PG,36.0,1.905,78.01788764,Maryland,2170465.0
184,Lorenzo Brown,Detroit Pistons,17.0,PG,25.0,1.9558000000000002,85.72895793,North Carolina State,111444.0
185,Reggie Bullock,Detroit Pistons,25.0,SF,25.0,2.0066,92.98643585,North Carolina,1252440.0
186,Kentavious Caldwell-Pope,Detroit Pistons,5.0,SG,23.0,1.9558000000000002,92.98643585,Georgia,2891760.0
187,Spencer Dinwiddie,Detroit Pistons,8.0,PG,23.0,1.9812,90.718474,Colorado,845059.0
188,Andre Drummond,Detroit Pistons,0.0,C,22.0,2.1082,126.55227123,Connecticut,3272091.0
189,Tobias Harris,Detroit Pistons,34.0,SF,23.0,2.0574,106.59420695,Tennessee,16000000.0
190,Darrun Hilliard,Detroit Pistons,6.0,SF,23.0,1.9812,92.98643585,Villanova,600000.0
191,Reggie Jackson,Detroit Pistons,1.0,PG,26.0,1.905,94.34721296000001,Boston College,13913044.0
192,Stanley Johnson,Detroit Pistons,3.0,SF,20.0,2.0066,111.13013065000001,Arizona,2841960.0
193,Jodie Meeks,Detroit Pistons,20.0,SG,28.0,1.9304000000000001,95.2543977,Kentucky,6270000.0
194,Marcus Morris,Detroit Pistons,13.0,PF,26.0,2.0574,106.59420695,Kansas,5000000.0
195,Anthony Tolliver,Detroit Pistons,43.0,PF,31.0,2.032,108.8621688,Creighton,3000000.0
196,Lavoy Allen,Indiana Pacers,5.0,PF,27.0,2.0574,115.66605435000001,Temple,4050000.0
197,Rakeem Christmas,Indiana Pacers,25.0,PF,24.0,2.0574,113.3980925,Syracuse,1007026.0
199,Paul George,Indiana Pacers,13.0,SF,26.0,2.0574,99.79032140000001,Fresno State,17120106.0
200,George Hill,Indiana Pacers,3.0,PG,30.0,1.905,85.27536556,IUPUI,8000000.0
201,Jordan Hill,Indiana Pacers,27.0,C,28.0,2.0828,106.59420695,Arizona,4000000.0
202,Solomon Hill,Indiana Pacers,44.0,SF,25.0,2.0066,102.05828325,Arizona,1358880.0
203,Ty Lawson,Indiana Pacers,10.0,PG,28.0,1.8034000000000001,88.45051215000001,North Carolina,211744.0
206,Glenn Robinson III,Indiana Pacers,40.0,SG,22.0,2.0066,100.69750614,Michigan,1100000.0
207,Rodney Stuckey,Indiana Pacers,2.0,PG,30.0,1.9558000000000002,92.98643585,Eastern Washington,7000000.0
208,Myles Turner,Indiana Pacers,33.0,PF,20.0,2.1082,110.22294591,Texas,2357760.0
209,Shayne Whittington,Indiana Pacers,42.0,PF,25.0,2.1082,113.3980925,Western Michigan,845059.0
210,Joe Young,Indiana Pacers,1.0,PG,23.0,1.8796000000000002,81.6466266,Oregon,1007026.0
212,Jerryd Bayless,Milwaukee Bucks,19.0,PG,27.0,1.905,90.718474,Arizona,3000000.0
213,Michael Carter-Williams,Milwaukee Bucks,5.0,PG,24.0,1.9812,86.1825503,Syracuse,2399040.0
214,Jared Cunningham,Milwaukee Bucks,9.0,SG,25.0,1.9304000000000001,88.45051215000001,Oregon State,947276.0
215,Tyler Ennis,Milwaukee Bucks,11.0,PG,21.0,1.905,87.99691978,Syracuse,1662360.0
216,John Henson,Milwaukee Bucks,31.0,PF,25.0,2.1082,103.87265273,North Carolina,2943221.0
218,O.J. Mayo,Milwaukee Bucks,3.0,SG,28.0,1.9558000000000002,95.2543977,USC,8000000.0
219,Khris Middleton,Milwaukee Bucks,22.0,SG,24.0,2.032,106.14061458,Texas A&M,14700000.0
220,Greg Monroe,Milwaukee Bucks,15.0,C,26.0,2.1082,120.20197805000001,Georgetown,16407500.0
221,Steve Novak,Milwaukee Bucks,6.0,SF,32.0,2.0828,102.05828325,Marquette,295327.0
222,Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0,2.0574,116.57323909,LSU,845059.0
223,Jabari Parker,Milwaukee Bucks,12.0,PF,21.0,2.032,113.3980925,Duke,5152440.0
224,Miles Plumlee,Milwaukee Bucks,18.0,C,27.0,2.1082,112.94450013000001,Duke,2109294.0
225,Greivis Vasquez,Milwaukee Bucks,21.0,PG,29.0,1.9812,98.42954429000001,Maryland,6600000.0
226,Rashad Vaughn,Milwaukee Bucks,20.0,SG,19.0,1.9812,91.62565874,UNLV,1733040.0
227,Justin Anderson,Dallas Mavericks,1.0,SG,22.0,1.9812,103.41906036,Virginia,1449000.0
228,J.J. Barea,Dallas Mavericks,5.0,PG,31.0,1.8288000000000002,83.91458845000001,Northeastern,4290000.0
229,Jeremy Evans,Dallas Mavericks,21.0,SF,28.0,2.0574,90.718474,Western Kentucky,1100602.0
230,Raymond Felton,Dallas Mavericks,2.0,PG,31.0,1.8542,92.98643585,North Carolina,3950313.0
231,Devin Harris,Dallas Mavericks,34.0,PG,33.0,1.905,83.91458845000001,Wisconsin,4053446.0
232,David Lee,Dallas Mavericks,42.0,PF,33.0,2.0574,111.13013065000001,Florida,2085671.0
233,Wesley Matthews,Dallas Mavericks,23.0,SG,29.0,1.9558000000000002,99.79032140000001,Marquette,16407500.0
234,JaVale McGee,Dallas Mavericks,11.0,C,28.0,2.1336,122.4699399,Nevada,1270964.0
238,Chandler Parsons,Dallas Mavericks,25.0,SF,27.0,2.0828,104.32624510000001,Florida,15361500.0
239,Dwight Powell,Dallas Mavericks,7.0,PF,24.0,2.1082,108.8621688,Stanford,845059.0
240,Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0,2.1082,105.23342984,Connecticut,947276.0
241,Deron Williams,Dallas Mavericks,8.0,PG,31.0,1.905,90.718474,Illinois,5378974.0
242,Trevor Ariza,Houston Rockets,1.0,SF,30.0,2.032,97.52235955,UCLA,8193030.0
243,Michael Beasley,Houston Rockets,8.0,SF,27.0,2.0828,106.59420695,Kansas State,306527.0
244,Patrick Beverley,Houston Rockets,2.0,PG,27.0,1.8542,83.91458845000001,Arkansas,6486486.0
245,Corey Brewer,Houston Rockets,33.0,SG,30.0,2.0574,84.36818082,Florida,8229375.0
247,Sam Dekker,Houston Rockets,7.0,SF,22.0,2.0574,104.32624510000001,Wisconsin,1646400.0
248,Andrew Goudelock,Houston Rockets,0.0,PG,27.0,1.905,90.718474,Charleston,200600.0
249,James Harden,Houston Rockets,13.0,SG,26.0,1.9558000000000002,99.79032140000001,Arizona State,15756438.0
250,Montrezl Harrell,Houston Rockets,35.0,PF,22.0,2.032,108.8621688,Louisville,1000000.0
252,Terrence Jones,Houston Rockets,6.0,PF,24.0,2.0574,114.30527724000001,Kentucky,2489530.0
253,K.J. McDaniels,Houston Rockets,32.0,SG,23.0,1.9812,92.98643585,Clemson,3189794.0
256,Jason Terry,Houston Rockets,31.0,SG,38.0,1.8796000000000002,83.91458845000001,Arizona,947276.0
257,Jordan Adams,Memphis Grizzlies,3.0,SG,21.0,1.9558000000000002,94.80080533,UCLA,1404600.0
258,Tony Allen,Memphis Grizzlies,9.0,SG,34.0,1.9304000000000001,96.61517481,Oklahoma State,5158539.0
259,Chris Andersen,Memphis Grizzlies,7.0,PF,37.0,2.0828,111.13013065000001,Blinn College,5000000.0
260,Matt Barnes,Memphis Grizzlies,22.0,SF,36.0,2.0066,102.51187562000001,UCLA,3542500.0
261,Vince Carter,Memphis Grizzlies,15.0,SG,39.0,1.9812,99.79032140000001,North Carolina,4088019.0
262,Mike Conley,Memphis Grizzlies,11.0,PG,28.0,1.8542,79.37866475,Ohio State,9588426.0
263,Bryce Cotton,Memphis Grizzlies,8.0,PG,23.0,1.8542,74.84274105,Providence,700902.0
266,JaMychal Green,Memphis Grizzlies,0.0,PF,25.0,2.0574,102.96546799000001,Alabama,845059.0
267,P.J. Hairston,Memphis Grizzlies,19.0,SF,23.0,1.9812,104.32624510000001,North Carolina,1201440.0
268,Jarell Martin,Memphis Grizzlies,10.0,PF,22.0,2.0828,108.40857643000001,LSU,1230840.0
271,Zach Randolph,Memphis Grizzlies,50.0,PF,34.0,2.0574,117.9340162,Michigan State,9638555.0
272,Lance Stephenson,Memphis Grizzlies,1.0,SF,25.0,1.9558000000000002,104.32624510000001,Cincinnati,9000000.0
274,Brandan Wright,Memphis Grizzlies,34.0,PF,28.0,2.0828,95.2543977,North Carolina,5464000.0
276,Ryan Anderson,New Orleans Pelicans,33.0,PF,28.0,2.0828,108.8621688,California,8500000.0
278,Luke Babbitt,New Orleans Pelicans,8.0,SF,26.0,2.0574,102.05828325,Nevada,1100602.0
279,Norris Cole,New Orleans Pelicans,30.0,PG,27.0,1.8796000000000002,79.37866475,Cleveland State,3036927.0
280,Dante Cunningham,New Orleans Pelicans,44.0,PF,29.0,2.032,104.32624510000001,Villanova,2850000.0
281,Anthony Davis,New Orleans Pelicans,23.0,PF,23.0,2.0828,114.75886961,Kentucky,7070730.0
282,Bryce Dejean-Jones,New Orleans Pelicans,31.0,SG,23.0,1.9812,92.07925111,Iowa State,169883.0
283,Toney Douglas,New Orleans Pelicans,16.0,PG,30.0,1.8796000000000002,88.45051215000001,Florida State,1164858.0
284,James Ennis,New Orleans Pelicans,4.0,SF,25.0,2.0066,95.2543977,Long Beach State,845059.0
285,Tyreke Evans,New Orleans Pelicans,1.0,SG,26.0,1.9812,99.79032140000001,Memphis,10734586.0
286,Tim Frazier,New Orleans Pelicans,2.0,PG,25.0,1.8542,77.1107029,Penn State,845059.0
287,Alonzo Gee,New Orleans Pelicans,15.0,SF,29.0,1.9812,102.05828325,Alabama,1320000.0
288,Eric Gordon,New Orleans Pelicans,10.0,SG,27.0,1.9304000000000001,97.52235955,Indiana,15514031.0
289,Jordan Hamilton,New Orleans Pelicans,25.0,SG,25.0,2.0066,99.79032140000001,Texas,1015421.0
290,Jrue Holiday,New Orleans Pelicans,11.0,PG,25.0,1.9304000000000001,92.98643585,UCLA,10595507.0
291,Orlando Johnson,New Orleans Pelicans,0.0,SG,27.0,1.9558000000000002,99.79032140000001,UC Santa Barbara,55722.0
293,Quincy Pondexter,New Orleans Pelicans,20.0,SF,28.0,2.0066,99.79032140000001,Washington,3382023.0
294,LaMarcus Aldridge,San Antonio Spurs,12.0,PF,30.0,2.1082,108.8621688,Texas,19689000.0
295,Kyle Anderson,San Antonio Spurs,1.0,SF,22.0,2.0574,104.32624510000001,UCLA,1142880.0
296,Matt Bonner,San Antonio Spurs,15.0,C,36.0,2.0828,106.59420695,Florida,947276.0
298,Tim Duncan,San Antonio Spurs,21.0,C,40.0,2.1082,113.3980925,Wake Forest,5250000.0
300,Danny Green,San Antonio Spurs,14.0,SG,28.0,1.9812,97.52235955,North Carolina,10000000.0
301,Kawhi Leonard,San Antonio Spurs,2.0,SF,24.0,2.0066,104.32624510000001,San Diego State,16407500.0
303,Kevin Martin,San Antonio Spurs,23.0,SG,33.0,2.0066,90.26488163,Western Carolina,200600.0
304,Andre Miller,San Antonio Spurs,24.0,PG,40.0,1.905,90.718474,Utah,250750.0
305,Patty Mills,San Antonio Spurs,8.0,PG,27.0,1.8288000000000002,83.91458845000001,Saint Mary's,3578947.0
307,Jonathon Simmons,San Antonio Spurs,17.0,SG,26.0,1.9812,88.45051215000001,Houston,525093.0
308,David West,San Antonio Spurs,30.0,PF,35.0,2.0574,113.3980925,Xavier,1499187.0
309,Kent Bazemore,Atlanta Hawks,24.0,SF,26.0,1.9558000000000002,91.17206637000001,Old Dominion,2000000.0
310,Tim Hardaway Jr.,Atlanta Hawks,10.0,SG,24.0,1.9812,92.98643585,Michigan,1304520.0
311,Kirk Hinrich,Atlanta Hawks,12.0,SG,35.0,1.9304000000000001,86.1825503,Kansas,2854940.0
